date,station_id,temp_c,precip_mm
2026-01-03,STATION_A,3.2,0.0
2026-01-04,STATION_A,14.9,0.0
2026-01-06,STATION_A,28.7,0.7
2026-01-07,STATION_A,-3.2,0.3
2026-01-08,STATION_A,8.1,0.0
2026-01-10,STATION_A,3.9,7.7
2026-01-11,STATION_A,26.5,0.0
2026-01-13,STATION_A,16.8,1.6
2026-01-14,STATION_A,0.9,2.6
2026-01-16,STATION_A,-3.4,13.0
2026-01-17,STATION_A,11.3,9.3
2026-01-18,STATION_A,16.1,3.1
2026-01-19,STATION_A,-0.5,2.7
2026-01-20,STATION_A,28.5,2.8
2026-01-21,STATION_A,34.7,7.0
2026-01-22,STATION_A,-9.6,0.0
2026-01-23,STATION_A,28.2,2.8
2026-01-24,STATION_A,19.3,0.0
2026-01-25,STATION_A,3.6,1.5
2026-01-27,STATION_A,-3.4,0.0
2026-01-30,STATION_A,9.0,1.5
